Mês,Escolas Públicas,Escolas Privadas,Outros Estados,Outros Países,Número de sessões,Estudantes,Público visitante,Total de Atendimentos,Cúpula
2023-01-01,1,3,2917,87,0,149,6472,6621,0
2023-02-01,3,2,992,43,0,376,2309,2685,0
2023-03-01,17,15,989,70,0,2213,2486,4699,0
2023-04-01,20,8,1796,60,0,2132,4399,6531,0
2023-05-01,16,11,1344,48,0,1607,3411,5018,0
2023-06-01,17,20,1870,73,109,3077,5938,9015,3113
2023-07-01,1,5,5178,117,137,232,14094,14326,8829
2023-08-01,28,10,2395,109,111,2905,6452,9357,3156
2023-09-01,24,12,2468,56,117,3080,6826,9906,3564
2023-10-01,30,17,2383,87,116,2697,6958,9655,3794
2023-11-01,33,12,2329,62,93,2288,5883,8171,2577
2023-12-01,17,4,2439,65,0,817,5043,5860,0
